('Epochs; batch_size; layer1; layer2; func1; func2; func_out', accuracy)
('30; 250; 128; 64; relu; relu; softmax', 0.84706116)
('30; 250; 96; 64; relu; relu; softmax', 0.81667334)
('30; 750; 80; 32; relu; relu; softmax', 0.80757695)
('20; 750; 64; 64; relu; relu; softmax', 0.80577767)
('20; 250; 112; 48; relu; relu; softmax', 0.8043783)
('20; 250; 64; 64; relu; relu; softmax', 0.80407834)
('20; 250; 80; 32; relu; relu; softmax', 0.8039784)
('20; 250; 128; 64; relu; relu; softmax', 0.79848063)
('10; 750; 128; 48; relu; relu; softmax', 0.79668134)
('30; 250; 64; 64; relu; relu; softmax', 0.7959816)
('20; 250; 80; 48; relu; relu; softmax', 0.7919832)
('20; 250; 112; 64; relu; relu; softmax', 0.79188323)
('30; 250; 112; 48; relu; relu; softmax', 0.79088366)
('30; 750; 128; 64; relu; relu; softmax', 0.79048383)
('30; 250; 64; 48; relu; relu; softmax', 0.7890844)
('30; 250; 128; 32; relu; relu; softmax', 0.7856857)
('30; 250; 112; 32; relu; relu; softmax', 0.78518593)
('10; 250; 96; 48; relu; relu; softmax', 0.7839864)
('30; 500; 112; 64; relu; relu; softmax', 0.78338665)
('30; 750; 64; 64; relu; relu; softmax', 0.782387)
('20; 250; 96; 48; relu; relu; softmax', 0.78208715)
('30; 500; 64; 64; relu; relu; softmax', 0.7817873)
('30; 250; 80; 48; relu; relu; softmax', 0.7807877)
('30; 250; 96; 48; relu; relu; softmax', 0.7804878)
('30; 750; 96; 32; relu; relu; softmax', 0.7803878)
('30; 750; 80; 48; relu; sigmoid; sigmoid', 0.7801879)
('30; 1000; 112; 32; relu; relu; softmax', 0.77918833)
('30; 1000; 64; 64; relu; relu; softmax', 0.7781887)
('20; 750; 128; 32; relu; relu; softmax', 0.77788883)
('10; 500; 112; 32; relu; relu; softmax', 0.7776889)
('20; 750; 80; 64; relu; relu; softmax', 0.7761895)
('30; 1000; 96; 32; relu; relu; softmax', 0.7754898)
('30; 750; 112; 48; sigmoid; relu; softmax', 0.77538985)
('10; 250; 96; 64; relu; relu; softmax', 0.77459013)
('20; 1000; 80; 64; sigmoid; relu; softmax', 0.7743902)
('20; 1000; 128; 48; sigmoid; relu; softmax', 0.77359056)
('20; 750; 96; 32; relu; relu; softmax', 0.7729908)
('20; 500; 80; 64; relu; relu; softmax', 0.77289087)
('10; 750; 64; 48; relu; relu; softmax', 0.77259094)
('10; 750; 96; 48; relu; relu; softmax', 0.7717913)
('20; 1000; 96; 32; relu; relu; softmax', 0.77139145)
('30; 1000; 80; 48; relu; relu; softmax', 0.7701919)
('20; 1000; 64; 64; sigmoid; relu; softmax', 0.7701919)
('20; 500; 112; 64; relu; relu; softmax', 0.77009195)
('30; 750; 64; 64; relu; sigmoid; sigmoid', 0.76939225)
('30; 1000; 112; 64; relu; relu; softmax', 0.7690924)
('30; 750; 64; 64; relu; sigmoid; softmax', 0.76719314)
('20; 500; 112; 48; relu; relu; softmax', 0.7663934)
('20; 250; 112; 32; relu; relu; softmax', 0.76609355)
('20; 750; 128; 32; sigmoid; relu; softmax', 0.7659936)
('30; 250; 128; 48; relu; relu; softmax', 0.7652939)
('20; 750; 96; 32; sigmoid; relu; sigmoid', 0.764994)
('30; 250; 96; 32; relu; relu; softmax', 0.7647941)
('20; 500; 64; 32; relu; relu; softmax', 0.7646941)
('10; 250; 112; 32; relu; relu; softmax', 0.76459414)
('30; 1000; 128; 64; relu; relu; softmax', 0.7641943)
('20; 750; 112; 48; relu; relu; softmax', 0.76409435)
('20; 250; 96; 32; relu; relu; softmax', 0.762495)
('10; 250; 80; 64; relu; relu; softmax', 0.7612955)
('10; 750; 80; 64; relu; relu; softmax', 0.7612955)
('30; 750; 80; 48; relu; sigmoid; softmax', 0.7609956)
('10; 500; 128; 64; relu; relu; softmax', 0.76059574)
('20; 750; 80; 48; relu; relu; softmax', 0.76009595)
('30; 250; 112; 64; relu; sigmoid; softmax', 0.75989604)
('30; 250; 112; 64; relu; relu; softmax', 0.7596961)
('30; 750; 64; 16; sigmoid; relu; softmax', 0.7594962)
('30; 750; 128; 48; sigmoid; sigmoid; softmax', 0.75889647)
('20; 750; 96; 64; relu; relu; softmax', 0.75889647)
('20; 750; 96; 48; sigmoid; sigmoid; softmax', 0.7583966)
('30; 750; 96; 48; sigmoid; relu; softmax', 0.7581967)
('10; 750; 128; 64; relu; relu; softmax', 0.7577969)
('30; 1000; 112; 64; sigmoid; sigmoid; softmax', 0.7576969)
('20; 500; 80; 48; relu; relu; softmax', 0.7576969)
('20; 500; 128; 16; sigmoid; relu; softmax', 0.7572971)
('20; 500; 64; 48; relu; relu; softmax', 0.7572971)
